X18S_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
merged_18S_2392	Eukaryota	Arthropoda	Arachnida	Arachnida	Arachnida	Arachnida	
merged_18S_2416	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Uronematidae	Homalogastra	
merged_18S_2423	Eukaryota	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetales	Coniochaetales	
merged_18S_2446	Eukaryota	Ciliophora	Spirotrichea	Euplotida	Euplotidae	Euplotes	
merged_18S_2451	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_2459	Eukaryota	Cercozoa	Thecofilosea	Thecofilosea	Thecofilosea	Thecofilosea	
merged_18S_2472	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Biatoropsis	
merged_18S_2474	Eukaryota	Nematoda	Enoplea	Triplonchida	Prismatolaimidae	Prismatolaimus	
merged_18S_2477	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2492	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2502	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Uebelmesseromycetaceae	Uebelmesseromyces	
merged_18S_2519	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorococcaceae	Radiosphaera	
merged_18S_2523	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2537	Eukaryota	Ascomycota	Lecanoromycetes	Peltigerales	Collemataceae	Collema	
merged_18S_2541	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2571	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2577	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Trichocomaceae	
merged_18S_2582	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Symbiochloris	
merged_18S_2592	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_2597	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorococcaceae	Chlorococcaceae	
merged_18S_2600	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2601	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2606	Eukaryota	Arthropoda	Insecta	Diptera	Cecidomyiidae	Cecidomyiidae	
merged_18S_2614	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2622	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pezizales	Pezizales	
merged_18S_2652	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales	Hypocreales	
merged_18S_2679	Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	
merged_18S_2704	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_2711	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2727	Eukaryota	Euglenida	Euglenida	Euglenida	Euglenida	Euglenida	
merged_18S_2729	Eukaryota	Arthropoda	Arachnida	Sarcoptiformes	Sarcoptiformes	Sarcoptiformes	
merged_18S_2734	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Minidiscus	
merged_18S_2739	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_2742	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2746	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Trachelostylidae	Lamtostyla	
merged_18S_2755	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmidaceae	
merged_18S_2762	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	
merged_18S_2778	Eukaryota	Nematoda	Chromadorea	Rhabditida	Cephalobidae	Scottnema	
merged_18S_2803	Eukaryota	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	
merged_18S_2804	Eukaryota	Platyhelminthes	Rhabditophora	Lecithoepitheliata	Prorhynchidae	Prorhynchus	
merged_18S_2806	Eukaryota	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	
merged_18S_2819	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2840	Eukaryota	Nematoda	Enoplea	Enoplida	Alaimidae	Alaimus	
merged_18S_2870	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Micractinium	
merged_18S_2877	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2898	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2926	Eukaryota	Ciliophora	Phyllopharyngea	Chlamydodontida	Chilodonellidae	Chilodonellidae	
merged_18S_2928	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
merged_18S_2933	Eukaryota	Ciliophora	Oligohymenophorea	Hymenostomatida	Hymenostomatida	Hymenostomatida	
merged_18S_2970	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2979	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2987	Eukaryota	Chytridiomycota	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Lobulomyces	
merged_18S_2990	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2994	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2995	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2997	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	
merged_18S_3005	Eukaryota	Streptophyta	Liliopsida	Poales	Poaceae	Polypogon	
merged_18S_3027	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
merged_18S_3038	Eukaryota	Basidiomycota	Tritirachiomycetes	Tritirachiales	Tritirachiaceae	Tritirachium	
merged_18S_3075	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	
merged_18S_3079	Eukaryota	Ciliophora	Colpodea	Cyrtolophosidida	Cyrtolophosidida	Cyrtolophosidida	
merged_18S_3080	Eukaryota	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Lobariaceae	
merged_18S_3095	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothideaceae	
merged_18S_3101	Eukaryota	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Pleurococcus	
merged_18S_3103	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3123	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxiaceae	
merged_18S_3129	Eukaryota	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichales	Ulotrichales	
merged_18S_3141	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	
merged_18S_3156	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales	Sphaeropleales	
merged_18S_3157	Eukaryota	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Oedogoniomycetaceae	Oedogoniomyces	
merged_18S_3167	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3180	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3192	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothidea	
merged_18S_3197	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	
merged_18S_3214	Eukaryota	Ciliophora	Colpodea	Bryometopida	Bryometopidae	Bryometopus	
merged_18S_3231	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
merged_18S_3243	Eukaryota	Basidiomycota	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	
merged_18S_3275	Eukaryota	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	
merged_18S_3297	Eukaryota	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllostictaceae	
merged_18S_3320	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_3340	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
merged_18S_3343	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3356	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Flammulina	
merged_18S_3369	Eukaryota	Bacillariophyta	Fragilariophyceae	Licmophorales	Licmophoraceae	Licmophora	
merged_18S_3374	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3414	Eukaryota	Cercozoa	Thecofilosea	Thecofilosea	Thecofilosea	Thecofilosea	
merged_18S_3420	Eukaryota	Streptophyta	Polytrichopsida	Polytrichales	Polytrichaceae	Polytrichaceae	
merged_18S_3437	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_3452	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3479	Eukaryota	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Jimgerdemannia	
merged_18S_3484	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Onygenales	Onygenales	
merged_18S_3505	Eukaryota	Nematoda	Chromadorea	Rhabditida	Teratocephalidae	Teratocephalus	
merged_18S_3506	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	
merged_18S_3507	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3542	Eukaryota	Ciliophora	Oligohymenophorea	Pleuronematida	Cyclidiidae	Protocyclidium	
merged_18S_3576	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3595	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3612	Eukaryota	Nematoda	Chromadorea	Rhabditida	Cephalobidae	Acrobeles	
merged_18S_3656	Eukaryota	Mucoromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	
merged_18S_3669	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales	Chlamydomonadales	
merged_18S_3684	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3693	Eukaryota	Ciliophora	Litostomatea	Pleurostomatida	Amphileptidae	Hemiophrys	
merged_18S_3699	Eukaryota	Ciliophora	Litostomatea	Haptorida	Trachelophyllidae	Lagynophrya	
merged_18S_3707	Eukaryota	Basidiomycota	Tritirachiomycetes	Tritirachiales	Tritirachiaceae	Paratritirachium	
merged_18S_3726	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3744	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_3766	Eukaryota	Streptophyta	Jungermanniopsida	Porellales	Porellaceae	Porella	
merged_18S_3767	Eukaryota	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	
merged_18S_3775	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3795	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3798	Eukaryota	Rotifera	Monogononta	Flosculariaceae	Flosculariaceae	Flosculariaceae	
merged_18S_3815	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_3824	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_3832	Eukaryota	Nematoda	Chromadorea	Rhabditida	Aphelenchoididae	Schistonchus	
merged_18S_3833	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporaceae	
merged_18S_3853	Eukaryota	Microsporidia	Microsporidia	Microsporidia	Microsporidia	Microsporidia	
