ITS_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
reverse_FUN_ITS_1260	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
reverse_FUN_ITS_1261	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
reverse_FUN_ITS_1262	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
reverse_FUN_ITS_1263	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
reverse_FUN_ITS_1271	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Striaticonidium	Striaticonidium cinctum
reverse_FUN_ITS_1273	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1274	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1276	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1277	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1278	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1279	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1280	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1281	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1282	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1283	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
reverse_FUN_ITS_1328	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodosporidiobolus sp.
reverse_FUN_ITS_1329	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia epidermidis
reverse_FUN_ITS_1330	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia epidermidis
reverse_FUN_ITS_1337	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1338	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1339	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1340	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1341	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1342	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1343	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1344	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1345	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1346	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
reverse_FUN_ITS_1348	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Melnikomyces	Melnikomyces thailandicus
reverse_FUN_ITS_1349	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Melnikomyces	Melnikomyces thailandicus
reverse_FUN_ITS_1350	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis sp.
reverse_FUN_ITS_1351	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera tryoni
reverse_FUN_ITS_1357	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pyrenochaetopsidaceae	Pyrenochaetopsis	Pyrenochaetopsis leptospora
reverse_FUN_ITS_1359	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
reverse_FUN_ITS_1361	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma podzolica
