depth	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	6	0.15-1.5	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	0.15-1.5	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	3.05-4.60	3.05-4.60	6
Carboxydocella	0	0	0.013071155	0.039569818	0.000189177	0	0	0	0	0	0	0.003003579	0	0.00033778	0	0	0	0	0	0.000781448	0	0	0	0	0	0	3.16576E-06	0	0	0	0	0	0	0	0	0.001379437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003209219	0	0	0	0	0
Carboxydothermus	0	0	0.00149115	0	0.002442607	0.003292965	5.46382E-06	0.003188573	0.002358181	0.000965683	0.002395136	0	0	0.004566286	0.001634708	0.000291826	0.002122201	0	0.002433038	0.001626257	6.66716E-06	3.78659E-05	0.00226677	0	0.000965127	0	0.000294416	0.003467036	0	0.000604344	0.002711748	0.005121114	0.005749945	0.000415315	1.96779E-05	9.19625E-06	0	0	0.002370586	1.23057E-05	0.003474269	0.000226938	3.21924E-06	0	0	0.001193142	0.000866031	0.002633497	0.000730434	0	0	0.001343622	0.000793907	0.00193779	0.003984603
Cellulomonas	0.004250079	0.001250057	0	0	0	0	0.005135995	0	0	0	0	0	0.002136002	0	0.000792282	0	0	0.00256988	0	0	0	0	0	0.002145769	0	0	0.01908003	2.66695E-05	0.00282977	0	0	0	0	0	0.001151156	0	0.001928808	0	0	0	0	0.0085205	0	0	0.002345353	0.000936158	0.007254081	0.002280797	0	0.005488494	0.004811203	0	0	0	0
Chelativorans	0.012803199	0.004889546	0	0	0	0	0.005873611	0	0	0.000250362	0	0	0.003287474	4.17012E-06	0	9.72753E-06	0	0.003285691	0	0	0.002333504	0	0	0.003162185	0	0	0.003447512	0	0.004578985	0	0	0.00232083	0.001796012	0	0.002331828	0	0.002024379	0	0	0	0	0.003864827	3.21924E-06	0	0.005065963	0.002143067	0.001843531	0	0	0	0.000929961	1.81571E-05	0	0	0
Chloroflexi	0.016828196	0.051304421	0.006573328	0.00275868	0.00747805	0.003242819	0.072931123	0.008656759	0.004239795	0.00017883	0.007799546	0	0.082499337	0.007752261	0.015564827	0.007470744	0.005650755	0.07417447	0.00733141	0.010010983	0.011594184	0.010514092	0.007104233	0.034116693	0.008782201	0	0.038733063	0.00165351	0.017738217	0.008344776	0.008952802	0.010137999	0.012588997	0.002444873	0.011875596	3.6785E-05	0.04535305	0	0.009641125	0.004454672	0.022192138	0.026483007	0.00106235	2.86303E-05	0.0258927	0.013473329	0.036690561	0.001645936	0.005747677	0.002315743	0.003051194	0.009332728	0.011926053	0.011983117	0.006783985
Chromatiales	0	0.006920888	0.000863546	0	0.000745579	0.001738418	0.000453497	0.001500505	0.000550516	0	1.53534E-05	0	0	0.000250207	0.009036024	0.004192566	0.00047512	0.000187754	0.000635174	0.002513306	0.001846802	0.002082623	0.000278597	0.000544142	0.000219555	0	0.002462961	0	0	0.001566458	0.000352506	0	0.001681013	0.000258592	0.021655499	0	0.002015691	0	0.001975024	0	0.001310129	0.000845861	0	0	0.003541483	0	0.002538071	0.000775941	0	0	0	0	8.72425E-06	0.000590246	0.002641352
Clostridia	1.32401E-05	0	0.005459685	0.000581909	0.00798994	0.003284607	0	0.019968259	0.002374614	0.001108747	0.005849659	0	8.56113E-06	0.005617158	0.002346759	0.001070029	0.004219062	0	0.015890104	0.009884261	0.003473588	0.010261653	0.003520458	0	0.008494035	3.54083E-05	0.001041535	0.0021869	5.34928E-06	0.000236903	0.00366946	6.94859E-06	0.001481456	0.002805335	0.019648356	0.01536693	0.001042599	0.001132931	0.007677244	0.012527226	0.005953811	0.000949015	0.001905792	1.43152E-05	0.00036353	0.009962737	2.57237E-05	0.010557502	0.000550819	0	0	0.000526555	0.000628146	0.006849086	0.007043605
Clostridiales	9.26809E-05	0.000110682	0.000339756	4.31044E-05	0.001379878	0.001646483	5.46382E-06	0.001716924	0.002177414	0.003594485	0.002180188	0	0.000214028	0.000688071	0.00081234	0.001595315	0.002027177	0.002828041	0.001345707	0.004963251	0.001606784	0.003407929	0.000278597	0.001806963	0.001056609	0	0.000525516	0.002586943	0.003236315	0.000275581	2.12353E-06	6.94859E-06	0.002675416	0.003009074	0.000610014	0	0.000495234	0.005626888	0.002236875	1.23057E-05	0.001101479	0.004002366	3.21924E-06	0	0	0.002583612	0.001946426	0.002468904	0.001400996	0.004230334	0.002382544	0.001125738	0.006839814	0.000567973	0.001049768
Clostridium	0.000291283	0	0.000783326	2.15522E-05	0.00228125	0.002992085	0	1.44279E-05	0.000797016	0.001609471	0.000813732	0	0.00204183	0.000821515	0.001694881	0.000505832	0.001963828	0	0.000602877	0.001626257	0.003066892	0.003471039	0.00068383	1.02668E-05	0.000740998	0	0.002377485	0.002640282	8.02392E-05	0	0.000473547	0	0.000761022	0.004004263	0	0	0.00020852	0	0.00230373	1.23057E-05	0.000174684	0	0.001548456	0.002032753	0	0.001748412	7.71711E-05	0.001575396	0.001987738	0.005142044	0	0.002523831	0.003812498	0.001213903	0.001535145
Cnuella	0.00542845	0.002168068	0	0	0	0.000142082	0.007119363	0.002871159	0.052085387	0.000268245	0	0	0.001609493	0.000546286	0.001664795	0.000136185	0	0.001466826	8.61252E-05	0	0.002790205	0.00070683	0	0.001611893	0	0	0.004058503	0.00106678	0.011998438	0	0	6.94859E-06	0	0	0.000895343	0	0.007836868	0	0.000189424	0	0.000332385	0.014173326	0	0.002791457	0.008654354	0.003409633	0.006070792	0.002398363	0	0	0.014738471	0	0.003175628	0	7.90148E-05
